COUNTRY,SECVAL,SKEPTICISM,RELATIVISM,DISBELIEF,DEFIANCE,EMVAL,AUTONOMY,EQUALITY,CHOICE,VOICE,happiness,log_gdp,social_support,life_expect,freedom,generosity,corruption,pos_affect,neg_affect,national_gov
Australia,0.3952580578796562,0.3392237461318051,0.309230547277937,0.6698680808022923,0.2627099283667622,0.6354474343839541,0.5652340446991404,0.8183400315186247,0.6936701891117479,0.4645456045845272,7.17699337,10.72413254,0.940137267,73.59999847,0.916028142,0.143235072,0.404647499,0.759018838,0.187456369,0.468836874
Bangladesh,0.23519153970964987,0.35707643979504694,0.3640762894961571,0.13476276601195558,0.0848507122117848,0.30473526985482496,0.42584678138343296,0.38665650555081127,0.1070309487617421,0.2994064901793339,4.499217033,8.263374329,0.705556035,64.30000305,0.90147084,-0.039868109,0.701421201,0.541344702,0.361237794,0.831693113
Brazil,0.34919722215067606,0.4881191229877656,0.34001348486799743,0.30579924211204124,0.2628570965872505,0.46783964777849324,0.32710877591757886,0.6684691043142306,0.39583624404378626,0.4799444430135222,6.190921783,9.56680584,0.881505251,66.40000153,0.75060904,-0.123364955,0.763251305,0.749727845,0.349656254,0.16818665
Chile,0.4534297121212121,0.5544268344155844,0.4548408831168831,0.5374422673160173,0.2670089025974026,0.47392590043290045,0.3961038484848485,0.6071685941558441,0.46152408766233766,0.43090701298701295,6.436220646,10.03774738,0.890084922,69.90000153,0.78853035,-0.064061932,0.816297412,0.832562208,0.275820225,0.334744155
Colombia,0.33768832828947365,0.6036995282894737,0.32105257828947364,0.306217222368421,0.11978401184210526,0.4264555532894737,0.32872800986842104,0.6317236335526316,0.30075528749999997,0.44461513157894733,5.983512402,9.497987747,0.870970428,67.69999695,0.850765765,-0.15052399,0.854820907,0.825455189,0.300624102,0.274869502
Ecuador,0.32326075492716366,0.49293519965724086,0.4287166109682948,0.2939452836332477,0.07744598886032562,0.38568167780634105,0.26249637275064264,0.599698440445587,0.27999930848329047,0.4005324764353042,6.128010273,9.250733376,0.851345003,68.5,0.869363725,-0.099192053,0.830743194,0.876474917,0.328171045,0.402085185
Germany,0.3841515704371964,0.3760376023594726,0.24639136710617626,0.6044685634975712,0.3097088230395559,0.6796517494795281,0.6090678806384455,0.8008387883414295,0.657087531575295,0.6516129909784872,7.118364334,10.73551273,0.919763148,72.19999695,0.8768875,0.035551026,0.495673954,0.780280411,0.243214577,0.592990577
Indonesia,0.2509451076148521,0.3073599417872876,0.3745524238514789,0.11219982284455632,0.20966826620516046,0.33371863089993703,0.43979445028319697,0.388726477658905,0.1067248432976715,0.3996284770295783,5.340295792,9.359265327,0.809378862,62.09999847,0.879374385,0.502897859,0.867729425,0.863717854,0.295986801,0.837602735
Iraq,0.34110651206896553,0.44091065603448276,0.5439655068965518,0.2707019267241379,0.10884800344827586,0.2633908051724138,0.23045968534482758,0.36649118793103447,0.2193708077586207,0.2372413793103448,5.099589825,9.652755737,0.793673038,60.20000076,0.643226683,-0.103620291,0.886389852,0.659687817,0.466499865,0.340682983
Kazakhstan,0.3799234089184061,0.35579371157495254,0.5595085303605313,0.3434094165085389,0.26098192599620496,0.3783379886148007,0.43738140417457305,0.4821589990512334,0.27945378368121443,0.3143577039848197,6.00763607,10.1161108,0.936656713,64.59999847,0.84018296,-0.104368672,0.82378298,0.69319874,0.161542282,0.615031958
South Korea,0.5638567445783133,0.4702141670682731,0.6396251373493976,0.7093200779116465,0.43626774216867464,0.4535032738955823,0.692101821686747,0.4855903036144578,0.3482967445783133,0.28802409638554216,5.840231419,10.5126152,0.79772383,73.59999847,0.600161672,-0.088746227,0.796825886,0.66120857,0.217145726,0.389084011
Lebanon,0.3667360184409053,0.3951604082145851,0.5764911986588432,0.34288325649622803,0.1524092539815591,0.41228750628667227,0.5224923093042749,0.5517020326906957,0.20873171165129925,0.3662238055322716,5.167186737,9.359378815,0.829380631,67.09999847,0.60703069,-0.052007224,0.906650305,0.463880777,0.270688891,0.219074845
Malaysia,0.38200470350609755,0.3973246920731707,0.6417682972560975,0.23446573856707317,0.25446027667682924,0.4198548239329268,0.5043191532012196,0.4786026288109756,0.3245538963414634,0.3719435975609756,5.338817596,10.24624062,0.789408565,67.0,0.874548256,0.116907127,0.894131124,0.824454665,0.200366735,0.732398391
Mexico,0.4267926660777385,0.640771421672556,0.5633319481743227,0.32904958951707897,0.17401781743227326,0.43687871908127207,0.32057317432273263,0.6427833851590106,0.3568874057714959,0.4272708598351001,6.549578667,9.803771973,0.858068883,68.30000305,0.816200495,-0.18029736,0.808638096,0.88171345,0.213254362,0.294568479
Nigeria,0.2569717207207207,0.5576617936117936,0.30874854709254707,0.07092452907452908,0.0905520131040131,0.2873704529074529,0.29292925225225225,0.4072218050778051,0.09976050204750204,0.3495700573300573,5.252288342,8.578443527,0.740854204,49.70000076,0.789881051,-0.018955085,0.865602672,0.80526185,0.256469876,0.45174095
Pakistan,0.24303613963716328,0.3625878829026938,0.26566335678944475,0.15141516877405167,0.19247812589334798,0.2484362336448598,0.2882535393073117,0.2608539626168224,0.10019892908191314,0.344438394722375,5.471553802,8.502672195,0.685059488,58.5,0.77256912,0.059652407,0.798841655,0.567294776,0.376706064,0.58938849
Peru,0.3758228375184638,0.694359483013294,0.35984952363367795,0.2916455576070901,0.15743689807976366,0.40017193722304284,0.3146232644017725,0.6495812917282127,0.24293824519940915,0.39354481536189073,5.679661274,9.456748009,0.84530139,68.09999847,0.829641998,-0.186320111,0.906244636,0.808621466,0.380032867,0.202403098
Romania,0.31270772266666663,0.4742393457777778,0.246727104,0.3095609048888889,0.22030368266666667,0.42974350933333333,0.5226666515555556,0.6119735831111112,0.26127976355555554,0.32305395555555555,6.150878906,10.10822392,0.81793046,67.19999695,0.84515959,-0.215162858,0.921170175,0.735342503,0.298453927,0.226351306
Thailand,0.39877511057304277,0.4226430484261501,0.38847402824858757,0.46889141323648104,0.31509195641646487,0.41409767554479415,0.502286784503632,0.5261822728006457,0.28702128974979824,0.3409002905569007,6.011561871,9.735346794,0.873052418,67.19999695,0.90482825,0.255532324,0.906596005,0.843489408,0.198190212,0.605364442
Turkey,0.2711319021113244,0.29132457389635313,0.24078739827255277,0.3039512792706334,0.2484643718809981,0.3642858214971209,0.36828385796545104,0.49675880038387715,0.2309801151631478,0.36166562380038386,5.185689449,10.1380291,0.847027302,66.80000305,0.528629065,-0.176209301,0.804878533,0.434654295,0.350773096,0.513677061
